m,I,V_ub
4,440,144.535
4,450,137.97
4,460,131.703
4,470,125.721
4,480,120.01
4,490,114.559
4,500,109.355
4,510,104.388
4,520,99.6463
4,530,95.1201
4,540,90.7994
4,550,86.675
4,560,82.738
4,570,78.9798
4,580,75.3923
4,590,71.9678
4,600,68.6988
4,610,65.5783
4,620,62.5995
4,630,59.7561
4,640,57.0418
4,650,54.4508
4,660,51.9774
4,670,49.6165
4,680,47.3628
4,690,45.2114
4,700,43.1578
4,710,41.1974
4,720,39.3261
4,730,37.5398
4,740,35.8346
4,750,34.2069
4,760,32.6531
4,770,31.1699
4,780,29.7541
4,790,28.4026
4,800,27.1125
4,810,25.8809
4,820,24.7053
4,830,23.5831
4,840,22.5119
4,850,21.4894
4,860,20.5133
4,870,19.5815
4,880,18.692
4,890,17.843
4,900,17.0325
4,910,16.2588
4,920,15.5203
4,930,14.8153
4,940,14.1424
4,950,13.5
4,960,12.8868
4,970,12.3014
4,980,11.7427
4,990,11.2093
4,1000,10.7001
5,50,900.701
5,60,862.658
5,70,826.222
5,80,791.325
5,90,757.902
5,100,725.891
5,110,695.232
5,120,665.868
5,130,637.744
5,140,610.807
5,150,585.009
5,160,560.3
5,170,536.635
5,180,513.969
5,190,492.261
5,200,471.469
5,210,451.556
5,220,432.484
5,230,414.217
5,240,396.722
5,250,379.966
5,260,363.917
5,270,348.546
5,280,333.825
5,290,319.725
5,300,306.221
5,310,293.287
5,320,280.9
5,330,269.036
5,340,257.672
5,350,246.789
5,360,236.366
5,370,226.382
5,380,216.821
5,390,207.663
5,400,198.892
5,410,190.491
5,420,182.446
5,430,174.74
5,440,167.359
5,450,160.291
5,460,153.52
5,470,147.036
5,480,140.826
5,490,134.878
5,500,129.181
5,510,123.725
5,520,118.499
5,530,113.494
5,540,108.7
5,550,104.109
5,560,99.7121
5,570,95.5006
5,580,91.467
5,590,87.6037
5,600,83.9036
5,610,80.3598
5,620,76.9657
5,630,73.7149
5,640,70.6014
5,650,67.6194
5,660,64.7634
5,670,62.028
5,680,59.4082
5,690,56.899
5,700,54.4957
5,710,52.194
5,720,49.9895
5,730,47.8781
5,740,45.8559
5,750,43.9191
5,760,42.0641
5,770,40.2874
5,780,38.5858
5,790,36.9561
5,800,35.3952
5,810,33.9002
5,820,32.4684
5,830,31.097
5,840,29.7836
5,850,28.5256
5,860,27.3208
5,870,26.1669
5,880,25.0617
5,890,24.0031
5,900,22.9893
5,910,22.0183
5,920,21.0883
5,930,20.1976
5,940,19.3446
5,950,18.5275
5,960,17.745
5,970,16.9955
5,980,16.2776
5,990,15.5901
5,1000,14.9317
6,50,912.234
6,60,875.93
6,70,841.071
6,80,807.599
6,90,775.46
6,100,744.599
6,110,714.967
6,120,686.513
6,130,659.192
6,140,632.959
6,150,607.769
6,160,583.582
6,170,560.358
6,180,538.057
6,190,516.645
6,200,496.084
6,210,476.342
6,220,457.385
6,230,439.182
6,240,421.705
6,250,404.922
6,260,388.808
6,270,373.334
6,280,358.477
6,290,344.211
6,300,330.513
6,310,317.359
6,320,304.729
6,330,292.602
6,340,280.958
6,350,269.777
6,360,259.04
6,370,248.732
6,380,238.833
6,390,229.328
6,400,220.202
6,410,211.438
6,420,203.024
6,430,194.944
6,440,187.186
6,450,179.737
6,460,172.584
6,470,165.716
6,480,159.121
6,490,152.788
6,500,146.708
6,510,140.869
6,520,135.263
6,530,129.88
6,540,124.712
6,550,119.748
6,560,114.983
6,570,110.407
6,580,106.013
6,590,101.794
6,600,97.7431
6,610,93.8533
6,620,90.1182
6,630,86.5318
6,640,83.0882
6,650,79.7816
6,660,76.6065
6,670,73.5579
6,680,70.6305
6,690,67.8197
6,700,65.1207
6,710,62.5291
6,720,60.0407
6,730,57.6512
6,740,55.3569
6,750,53.1539
6,760,51.0386
6,770,49.0074
6,780,47.0571
6,790,45.1844
6,800,43.3862
6,810,41.6596
6,820,40.0017
6,830,38.4097
6,840,36.8812
6,850,35.4134
6,860,34.0041
6,870,32.6509
6,880,31.3515
6,890,30.1038
6,900,28.9058
6,910,27.7554
6,920,26.6508
6,930,25.5902
6,940,24.5718
6,950,23.594
6,960,22.655
6,970,21.7534
6,980,20.8877
6,990,20.0564
6,1000,19.2583
7,50,921.558
7,60,886.685
7,70,853.132
7,80,820.848
7,90,789.786
7,100,759.899
7,110,731.143
7,120,703.476
7,130,676.855
7,140,651.242
7,150,626.598
7,160,602.887
7,170,580.072
7,180,558.122
7,190,537.002
7,200,516.681
7,210,497.129
7,220,478.317
7,230,460.216
7,240,442.801
7,250,426.045
7,260,409.923
7,270,394.411
7,280,379.485
7,290,365.125
7,300,351.308
7,310,338.014
7,320,325.223
7,330,312.916
7,340,301.075
7,350,289.682
7,360,278.72
7,370,268.173
7,380,258.025
7,390,248.261
7,400,238.866
7,410,229.827
7,420,221.13
7,430,212.762
7,440,204.711
7,450,196.964
7,460,189.511
7,470,182.34
7,480,175.44
7,490,168.801
7,500,162.413
7,510,156.267
7,520,150.354
7,530,144.664
7,540,139.19
7,550,133.923
7,560,128.855
7,570,123.979
7,580,119.287
7,590,114.773
7,600,110.43
7,610,106.251
7,620,102.23
7,630,98.3619
7,640,94.6397
7,650,91.0584
7,660,87.6126
7,670,84.2973
7,680,81.1073
7,690,78.0381
7,700,75.085
7,710,72.2437
7,720,69.5099
7,730,66.8795
7,740,64.3487
7,750,61.9137
7,760,59.5707
7,770,57.3165
7,780,55.1476
7,790,53.0607
7,800,51.0528
7,810,49.1209
7,820,47.2621
7,830,45.4736
7,840,43.7528
7,850,42.0971
7,860,40.5041
7,870,38.9714
7,880,37.4967
7,890,36.0777
7,900,34.7125
7,910,33.3989
7,920,32.1351
7,930,30.919
7,940,29.749
7,950,28.6232
7,960,27.5401
7,970,26.4979
7,980,25.4952
7,990,24.5304
7,1000,23.6022
8,50,929.329
8,60,895.665
8,70,863.22
8,80,831.95
8,90,801.814
8,100,772.768
8,110,744.775
8,120,717.797
8,130,691.795
8,140,666.735
8,150,642.583
8,160,619.306
8,170,596.872
8,180,575.251
8,190,554.413
8,200,534.329
8,210,514.974
8,220,496.319
8,230,478.34
8,240,461.013
8,250,444.313
8,260,428.218
8,270,412.706
8,280,397.756
8,290,383.348
8,300,369.461
8,310,356.078
8,320,343.179
8,330,330.748
8,340,318.767
8,350,307.219
8,360,296.091
8,370,285.365
8,380,275.028
8,390,265.065
8,400,255.463
8,410,246.209
8,420,237.291
8,430,228.695
8,440,220.411
8,450,212.426
8,460,204.731
8,470,197.315
8,480,190.168
8,490,183.279
8,500,176.64
8,510,170.241
8,520,164.074
8,530,158.131
8,540,152.403
8,550,146.882
8,560,141.561
8,570,136.433
8,580,131.491
8,590,126.728
8,600,122.137
8,610,117.713
8,620,113.449
8,630,109.339
8,640,105.378
8,650,101.561
8,660,97.8822
8,670,94.3365
8,680,90.9192
8,690,87.6257
8,700,84.4516
8,710,81.3924
8,720,78.444
8,730,75.6024
8,740,72.8638
8,750,70.2243
8,760,67.6805
8,770,65.2288
8,780,62.8659
8,790,60.5887
8,800,58.3939
8,810,56.2786
8,820,54.24
8,830,52.2752
8,840,50.3815
8,850,48.5565
8,860,46.7976
8,870,45.1024
8,880,43.4686
8,890,41.8939
8,900,40.3764
8,910,38.9137
8,920,37.5041
8,930,36.1456
8,940,34.8362
8,950,33.5743
8,960,32.3581
8,970,31.1859
8,980,30.0563
8,990,28.9675
8,1000,27.9182
9,50,935.953
9,60,903.331
9,70,871.846
9,80,841.459
9,90,812.13
9,100,783.824
9,110,756.505
9,120,730.137
9,130,704.689
9,140,680.127
9,150,656.422
9,160,633.543
9,170,611.461
9,180,590.149
9,190,569.58
9,200,549.728
9,210,530.567
9,220,512.075
9,230,494.227
9,240,477.001
9,250,460.376
9,260,444.329
9,270,428.843
9,280,413.896
9,290,399.47
9,300,385.546
9,310,372.109
9,320,359.139
9,330,346.621
9,340,334.54
9,350,322.88
9,360,311.626
9,370,300.765
9,380,290.282
9,390,280.164
9,400,270.399
9,410,260.975
9,420,251.879
9,430,243.1
9,440,234.627
9,450,226.449
9,460,218.556
9,470,210.939
9,480,203.586
9,490,196.491
9,500,189.642
9,510,183.032
9,520,176.653
9,530,170.496
9,540,164.553
9,550,158.818
9,560,153.282
9,570,147.94
9,580,142.783
9,590,137.807
9,600,133.004
9,610,128.368
9,620,123.894
9,630,119.576
9,640,115.408
9,650,111.385
9,660,107.503
9,670,103.756
9,680,100.14
9,690,96.6496
9,700,93.2809
9,710,90.0297
9,720,86.8918
9,730,83.8632
9,740,80.9402
9,750,78.1191
9,760,75.3963
9,770,72.7684
9,780,70.2322
9,790,67.7843
9,800,65.4217
9,810,63.1415
9,820,60.9407
9,830,58.8167
9,840,56.7667
9,850,54.7881
9,860,52.8785
9,870,51.0355
9,880,49.2567
9,890,47.5399
9,900,45.8829
9,910,44.2837
9,920,42.7402
9,930,41.2505
9,940,39.8128
9,950,38.4251
9,960,37.0858
9,970,35.7932
9,980,34.5457
9,990,33.3416
9,1000,32.1795
10,50,941.7
10,60,909.992
10,70,879.35
10,80,849.741
10,90,821.129
10,100,793.48
10,110,766.762
10,120,740.943
10,130,715.994
10,140,691.885
10,150,668.588
10,160,646.076
10,170,624.321
10,180,603.299
10,190,582.985
10,200,563.355
10,210,544.385
10,220,526.055
10,230,508.342
10,240,491.225
10,250,474.684
10,260,458.701
10,270,443.256
10,280,428.33
10,290,413.908
10,300,399.971
10,310,386.503
10,320,373.488
10,330,360.912
10,340,348.76
10,350,337.016
10,360,325.668
10,370,314.703
10,380,304.106
10,390,293.866
10,400,283.971
10,410,274.409
10,420,265.169
10,430,256.241
10,440,247.612
10,450,239.275
10,460,231.218
10,470,223.432
10,480,215.909
10,490,208.639
10,500,201.614
10,510,194.825
10,520,188.265
10,530,181.926
10,540,175.8
10,550,169.88
10,560,164.16
10,570,158.633
10,580,153.291
10,590,148.13
10,600,143.142
10,610,138.322
10,620,133.664
10,630,129.164
10,640,124.814
10,650,120.612
10,660,116.55
10,670,112.626
10,680,108.834
10,690,105.169
10,700,101.628
10,710,98.2058
10,720,94.899
10,730,91.7036
10,740,88.6157
10,750,85.6319
10,760,82.7485
10,770,79.9622
10,780,77.2697
10,790,74.6679
10,800,72.1537
10,810,69.7241
