m,I,V_ub
4,430,301.917
4,440,288.327
4,450,275.349
4,460,262.955
4,470,251.119
4,480,239.816
4,490,229.021
4,500,218.712
4,510,208.868
4,520,199.466
4,530,190.488
4,540,181.914
4,550,173.725
4,560,165.906
4,570,158.438
4,580,151.306
4,590,144.496
4,600,137.992
4,610,131.78
4,620,125.849
4,630,120.184
4,640,114.774
4,650,109.608
4,660,104.674
4,670,99.9627
4,680,95.4632
4,690,91.1662
4,700,87.0626
4,710,83.1438
4,720,79.4013
4,730,75.8273
4,740,72.4142
4,750,69.1546
4,760,66.0419
4,770,63.0692
4,780,60.2303
4,790,57.5192
4,800,54.9302
4,810,52.4577
4,820,50.0964
4,830,47.8415
4,840,45.6881
4,850,43.6315
4,860,41.6676
4,870,39.7921
4,880,38.0009
4,890,36.2904
4,900,34.6569
4,910,33.097
4,920,31.6072
4,930,30.1845
4,940,28.8258
4,950,27.5283
4,960,26.2892
4,970,25.1059
4,980,23.9758
4,990,22.8966
4,1000,21.866
5,50,1766.59
5,60,1692.65
5,70,1621.81
5,80,1553.93
5,90,1488.89
5,100,1426.57
5,110,1366.87
5,120,1309.66
5,130,1254.84
5,140,1202.32
5,150,1152
5,160,1103.79
5,170,1057.59
5,180,1013.32
5,190,970.912
5,200,930.275
5,210,891.339
5,220,854.033
5,230,818.289
5,240,784.04
5,250,751.225
5,260,719.783
5,270,689.657
5,280,660.793
5,290,633.136
5,300,606.637
5,310,581.246
5,320,556.919
5,330,533.61
5,340,511.276
5,350,489.877
5,360,469.374
5,370,449.729
5,380,430.906
5,390,412.871
5,400,395.59
5,410,379.033
5,420,363.169
5,430,347.969
5,440,333.405
5,450,319.451
5,460,306.081
5,470,293.27
5,480,280.996
5,490,269.235
5,500,257.966
5,510,247.169
5,520,236.824
5,530,226.912
5,540,217.415
5,550,208.315
5,560,199.597
5,570,191.243
5,580,183.238
5,590,175.569
5,600,168.221
5,610,161.18
5,620,154.434
5,630,147.971
5,640,141.777
5,650,135.843
5,660,130.158
5,670,124.71
5,680,119.491
5,690,114.489
5,700,109.698
5,710,105.106
5,720,100.707
5,730,96.4923
5,740,92.4537
5,750,88.5841
5,760,84.8765
5,770,81.3241
5,780,77.9204
5,790,74.6591
5,800,71.5343
5,810,68.5403
5,820,65.6716
5,830,62.923
5,840,60.2895
5,850,57.7661
5,860,55.3484
5,870,53.0318
5,880,50.8122
5,890,48.6855
5,900,46.6479
5,910,44.6955
5,920,42.8248
5,930,41.0324
5,940,39.315
5,950,37.6695
5,960,36.0929
5,970,34.5823
5,980,33.1349
5,990,31.7481
5,1000,30.4193
6,50,1789
6,60,1718.45
6,70,1650.68
6,80,1585.59
6,90,1523.06
6,100,1462.99
6,110,1405.3
6,120,1349.88
6,130,1296.65
6,140,1245.52
6,150,1196.4
6,160,1149.22
6,170,1103.9
6,180,1060.37
6,190,1018.55
6,200,978.382
6,210,939.799
6,220,902.738
6,230,867.138
6,240,832.942
6,250,800.095
6,260,768.543
6,270,738.235
6,280,709.122
6,290,681.158
6,300,654.296
6,310,628.494
6,320,603.709
6,330,579.901
6,340,557.033
6,350,535.066
6,360,513.965
6,370,493.697
6,380,474.228
6,390,455.526
6,400,437.563
6,410,420.307
6,420,403.732
6,430,387.811
6,440,372.517
6,450,357.827
6,460,343.716
6,470,330.161
6,480,317.141
6,490,304.635
6,500,292.621
6,510,281.082
6,520,269.997
6,530,259.35
6,540,249.122
6,550,239.298
6,560,229.861
6,570,220.796
6,580,212.089
6,590,203.725
6,600,195.691
6,610,187.974
6,620,180.561
6,630,173.441
6,640,166.601
6,650,160.031
6,660,153.72
6,670,147.658
6,680,141.835
6,690,136.242
6,700,130.869
6,710,125.708
6,720,120.751
6,730,115.989
6,740,111.415
6,750,107.021
6,760,102.801
6,770,98.7469
6,780,94.8528
6,790,91.1122
6,800,87.5192
6,810,84.0678
6,820,80.7526
6,830,77.5681
6,840,74.5091
6,850,71.5708
6,860,68.7484
6,870,66.0373
6,880,63.4331
6,890,60.9316
6,900,58.5287
6,910,56.2206
6,920,54.0035
6,930,51.8739
6,940,49.8282
6,950,47.8632
6,960,45.9757
6,970,44.1626
6,980,42.4211
6,990,40.7482
6,1000,39.1413
7,50,1807.11
7,60,1739.35
7,70,1674.13
7,80,1611.35
7,90,1550.93
7,100,1492.78
7,110,1436.8
7,120,1382.92
7,130,1331.07
7,140,1281.15
7,150,1233.11
7,160,1186.88
7,170,1142.37
7,180,1099.53
7,190,1058.3
7,200,1018.62
7,210,980.424
7,220,943.66
7,230,908.275
7,240,874.216
7,250,841.435
7,260,809.883
7,270,779.515
7,280,750.284
7,290,722.15
7,300,695.071
7,310,669.008
7,320,643.922
7,330,619.776
7,340,596.536
7,350,574.167
7,360,552.637
7,370,531.914
7,380,511.969
7,390,492.771
7,400,474.293
7,410,456.508
7,420,439.39
7,430,422.914
7,440,407.056
7,450,391.792
7,460,377.101
7,470,362.96
7,480,349.35
7,490,336.25
7,500,323.642
7,510,311.506
7,520,299.825
7,530,288.582
7,540,277.761
7,550,267.346
7,560,257.321
7,570,247.672
7,580,238.385
7,590,229.446
7,600,220.842
7,610,212.561
7,620,204.59
7,630,196.919
7,640,189.535
7,650,182.428
7,660,175.587
7,670,169.003
7,680,162.666
7,690,156.566
7,700,150.695
7,710,145.044
7,720,139.606
7,730,134.371
7,740,129.332
7,750,124.482
7,760,119.815
7,770,115.322
7,780,110.998
7,790,106.835
7,800,102.829
7,810,98.9734
7,820,95.2621
7,830,91.69
7,840,88.2518
7,850,84.9426
7,860,81.7574
7,870,78.6917
7,880,75.741
7,890,72.9008
7,900,70.1672
7,910,67.5361
7,920,65.0037
7,930,62.5662
7,940,60.2201
7,950,57.962
7,960,55.7885
7,970,53.6966
7,980,51.6831
7,990,49.7451
7,1000,47.8797
8,50,1822.21
8,60,1756.8
